image_id,nucleus_id,area,perimeter,circularity,eccentricity,compactness,image_class
398,117,45.185,5.5258,0.186,0.7525,0.186,HSIL
398,118,59.315,6.1458,0.1973,0.816,0.1973,HSIL
398,119,48.305,6.0757,0.1644,0.6886,0.1644,Negative for intraepithelial lesion
398,120,49.305,3.3635,0.5477,0.762,0.5477,Negative for intraepithelial lesion
398,121,8.73,1.7637,0.3527,0.7464,0.3527,Negative for intraepithelial lesion
398,122,54.09,5.5593,0.2199,0.696,0.2199,HSIL
398,123,56.065,7.084,0.1404,0.4096,0.1404,HSIL
398,124,39.91,5.8524,0.1464,0.6491,0.1464,HSIL
398,125,64.3,5.7136,0.2475,0.8828,0.2475,HSIL
398,126,28.91,3.5376,0.2903,0.5926,0.2903,HSIL
398,127,42.985,4.9058,0.2244,0.7887,0.2244,HSIL
398,128,72.605,4.4407,0.4627,0.8254,0.4627,HSIL
398,129,53.525,4.9892,0.2702,0.6407,0.2702,HSIL
398,130,24.505,4.1643,0.1776,0.7609,0.1776,HSIL
398,131,13.905,3.1498,0.1761,0.8211,0.1761,ASC-H
397,132,43.99,7.5981,0.0958,0.6366,0.0958,HSIL
397,133,56.84,7.6987,0.1205,0.4263,0.1205,HSIL
397,134,66.195,7.6909,0.1406,0.5966,0.1406,HSIL
397,135,80.845,6.1761,0.2663,0.6647,0.2663,HSIL
397,136,55.785,8.3032,0.1017,0.5614,0.1017,HSIL
397,137,86.345,4.9124,0.4496,0.6587,0.4496,HSIL
397,138,90.315,5.2138,0.4175,0.5695,0.4175,HSIL
397,139,81.545,6.6746,0.23,0.5854,0.23,HSIL
397,140,35.585,4.5346,0.2175,0.747,0.2175,HSIL
397,141,39.555,6.5969,0.1142,0.8606,0.1142,HSIL
397,142,67.365,6.0078,0.2345,0.8213,0.2345,HSIL
397,143,70.29,5.1962,0.3271,0.7678,0.3271,HSIL
397,144,78.03,4.2802,0.5352,0.7445,0.5352,HSIL
397,145,69.18,3.9871,0.5469,0.7513,0.5469,HSIL
397,146,97.685,4.0073,0.7644,0.968,0.7644,HSIL
397,147,90.475,5.3324,0.3998,0.5012,0.3998,HSIL
397,148,94.065,4.2218,0.6632,0.4794,0.6632,HSIL
397,149,95.87,4.4974,0.5956,0.708,0.5956,HSIL
397,150,91.03,6.1225,0.3052,0.6415,0.3052,HSIL
397,151,83.815,8.25,0.1547,0.5388,0.1547,HSIL
397,152,69.025,7.8309,0.1414,0.5065,0.1414,HSIL
397,153,44.315,5.2969,0.1985,0.7801,0.1985,HSIL
397,154,63.235,4.4738,0.397,0.9201,0.397,HSIL
397,155,91.5,4.2823,0.627,0.553,0.627,HSIL
397,156,97.86,3.9566,0.7856,0.9183,0.7856,HSIL
397,157,84.85,5.1968,0.3948,0.9441,0.3948,HSIL
397,158,92.91,4.9554,0.4755,0.9223,0.4755,HSIL
397,159,97.095,4.2487,0.6759,0.6757,0.6759,HSIL
397,160,97.075,4.2487,0.6758,0.7501,0.6758,HSIL
397,161,92.46,5.1437,0.4392,0.6202,0.4392,HSIL
397,162,53.83,5.7853,0.2021,0.4493,0.2021,HSIL
397,163,74.58,6.2068,0.2433,0.4801,0.2433,HSIL
397,164,84.835,4.9661,0.4323,0.8688,0.4323,HSIL
397,165,91.585,5.131,0.4372,0.9691,0.4372,HSIL
397,166,85.16,4.9699,0.4333,0.9056,0.4333,HSIL
397,167,95.63,4.3877,0.6242,0.8325,0.6242,HSIL
397,168,82.555,4.5612,0.4986,0.9529,0.4986,HSIL
397,169,91.38,4.972,0.4645,0.5555,0.4645,HSIL
397,170,91.845,5.1958,0.4275,0.2267,0.4275,HSIL
397,171,92.465,4.3301,0.6197,0.9346,0.6197,HSIL
397,172,96.81,4.2677,0.6679,0.9316,0.6679,HSIL
397,173,98.01,3.96,0.7854,-1.0,0.7854,HSIL
397,174,96.865,4.2004,0.6899,0.9003,0.6899,HSIL
397,175,87.49,4.7582,0.4856,0.8736,0.4856,HSIL
397,176,97.215,4.1321,0.7155,0.9964,0.7155,HSIL
397,177,80.03,4.1423,0.5861,0.8589,0.5861,HSIL
397,178,91.645,5.8187,0.3402,0.5795,0.3402,HSIL
397,179,68.16,6.7476,0.1881,0.7717,0.1881,HSIL
397,180,90.015,5.1875,0.4203,0.6164,0.4203,HSIL
397,181,92.895,4.5495,0.564,0.3458,0.564,HSIL
397,182,97.46,3.9249,0.795,0.431,0.795,HSIL
397,183,34.865,3.6318,0.3322,0.6596,0.3322,HSIL
397,184,46.45,4.8156,0.2517,0.8143,0.2517,HSIL
397,185,18.49,2.5823,0.3485,0.9301,0.3485,HSIL
397,186,64.22,5.815,0.2387,0.671,0.2387,HSIL
397,187,52.895,5.5906,0.2127,0.735,0.2127,HSIL
397,188,93.405,5.5987,0.3745,0.5721,0.3745,HSIL
397,189,95.1,5.2768,0.4292,0.274,0.4292,HSIL
397,190,78.465,5.2421,0.3588,0.5985,0.3588,HSIL
397,191,92.98,4.3325,0.6225,0.2118,0.6225,HSIL
397,192,91.005,4.3647,0.6003,0.5997,0.6003,HSIL
397,193,97.885,4.0107,0.7647,0.9687,0.7647,HSIL
397,194,97.7,4.0731,0.74,0.9097,0.74,HSIL
397,195,93.12,3.996,0.7328,0.6416,0.7328,HSIL
397,196,89.135,4.1433,0.6525,0.7133,0.6525,HSIL
397,197,96.99,4.0497,0.7432,0.7419,0.7432,HSIL
397,198,96.655,4.535,0.5906,0.4812,0.5906,HSIL
397,199,98.0,3.9683,0.782,0.9876,0.782,HSIL
397,200,98.01,3.96,0.7854,-1.0,0.7854,HSIL
397,201,98.01,3.96,0.7854,-1.0,0.7854,HSIL
397,202,98.01,3.96,0.7854,-1.0,0.7854,HSIL
397,203,98.01,3.96,0.7854,-1.0,0.7854,HSIL
397,204,97.905,4.0224,0.7604,0.9944,0.7604,HSIL
397,205,97.98,3.9683,0.7819,0.9865,0.7819,HSIL
397,206,98.01,3.96,0.7854,-1.0,0.7854,HSIL
397,207,97.88,4.0366,0.7549,0.9489,0.7549,HSIL
397,208,97.295,4.317,0.6561,0.5608,0.6561,HSIL
397,209,76.35,7.669,0.1631,0.5279,0.1631,HSIL
397,210,83.16,5.8191,0.3086,0.6381,0.3086,HSIL
397,211,92.55,4.1911,0.6621,0.6606,0.6621,HSIL
397,212,85.86,4.5417,0.5231,0.7692,0.5231,HSIL
397,213,50.945,3.6661,0.4763,0.8075,0.4763,HSIL
397,214,34.475,5.5561,0.1403,0.742,0.1403,HSIL
397,215,60.25,4.1914,0.431,0.7395,0.431,HSIL
397,216,72.195,4.6269,0.4238,0.6737,0.4238,HSIL
397,217,66.12,4.7976,0.361,0.6403,0.361,HSIL
397,218,94.785,4.2233,0.6678,0.7077,0.6678,HSIL
397,219,10.325,2.2972,0.2459,0.7917,0.2459,HSIL
397,220,31.95,4.0176,0.2487,0.675,0.2487,HSIL
397,221,36.54,4.5308,0.2237,0.5752,0.2237,HSIL
397,222,65.62,6.6462,0.1867,0.773,0.1867,LSIL
396,223,47.44,4.0482,0.3638,0.7082,0.3638,Negative for intraepithelial lesion
396,224,42.2,6.6199,0.121,0.6272,0.121,Negative for intraepithelial lesion
396,225,84.28,5.4991,0.3502,0.5263,0.3502,Negative for intraepithelial lesion
396,226,93.095,4.7992,0.5079,0.6738,0.5079,Negative for intraepithelial lesion
396,227,93.045,4.4998,0.5774,0.6864,0.5774,Negative for intraepithelial lesion
396,228,90.26,5.9397,0.3215,0.4701,0.3215,Negative for intraepithelial lesion
396,229,89.635,5.071,0.438,0.9933,0.438,Negative for intraepithelial lesion
396,230,87.48,6.0611,0.2992,0.8794,0.2992,Negative for intraepithelial lesion
396,231,64.665,7.2011,0.1567,0.5407,0.1567,Negative for intraepithelial lesion
396,232,62.87,5.4405,0.2669,0.7761,0.2669,LSIL
396,233,28.1,4.0019,0.2205,0.9143,0.2205,LSIL
396,234,69.385,6.9314,0.1815,0.7047,0.1815,HSIL
396,235,77.88,5.3894,0.3369,0.4782,0.3369,HSIL
396,236,95.525,4.5301,0.5849,0.9836,0.5849,HSIL
396,237,92.795,5.3241,0.4114,0.5543,0.4114,HSIL
396,238,65.7,8.5587,0.1127,0.5492,0.1127,HSIL
396,239,89.155,4.7992,0.4864,0.5232,0.4864,HSIL
396,240,74.435,4.7255,0.4189,0.9991,0.4189,HSIL
396,241,92.795,4.3178,0.6255,0.7726,0.6255,HSIL
396,242,55.03,6.4116,0.1682,0.7343,0.1682,HSIL
396,243,59.6,5.3322,0.2634,0.5783,0.2634,HSIL
396,244,51.38,4.2362,0.3598,0.3444,0.3598,HSIL
396,245,83.23,6.1391,0.2775,0.5934,0.2775,HSIL
396,246,66.395,5.6981,0.257,0.7874,0.257,HSIL
396,247,50.0,5.8082,0.1863,0.4553,0.1863,HSIL
396,248,89.84,6.2308,0.2908,0.6244,0.2908,HSIL
396,249,88.225,4.9027,0.4612,0.6988,0.4612,HSIL
396,250,74.465,5.4704,0.3127,0.7085,0.3127,HSIL
396,251,97.67,3.9366,0.792,0.3112,0.792,HSIL
396,252,94.405,4.6315,0.553,0.57,0.553,HSIL
396,253,97.385,4.2921,0.6643,0.6865,0.6643,HSIL
396,254,94.815,4.9281,0.4906,0.6869,0.4906,HSIL
396,255,92.41,5.6651,0.3618,0.7715,0.3618,HSIL
396,256,96.41,4.4346,0.6161,0.9466,0.6161,HSIL
396,257,95.84,4.3146,0.647,0.884,0.647,HSIL
396,258,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,259,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,260,85.065,4.1847,0.6104,0.5205,0.6104,HSIL
396,261,93.83,4.6925,0.5355,0.4822,0.5355,HSIL
396,262,78.515,6.4575,0.2366,0.4949,0.2366,HSIL
396,263,42.62,4.2191,0.3009,0.4838,0.3009,HSIL
396,264,80.055,4.5158,0.4933,0.7366,0.4933,HSIL
396,265,55.37,5.6882,0.215,0.6262,0.215,HSIL
396,266,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,267,88.58,5.5776,0.3578,0.6013,0.3578,HSIL
396,268,95.195,3.937,0.7718,0.4827,0.7718,HSIL
396,269,95.505,4.4053,0.6184,0.9523,0.6184,HSIL
396,270,95.46,4.4477,0.6064,0.7965,0.6064,HSIL
396,271,53.515,4.3489,0.3556,0.6208,0.3556,HSIL
396,272,77.705,6.5892,0.2249,0.5694,0.2249,HSIL
396,273,84.205,6.1381,0.2809,0.6643,0.2809,HSIL
396,274,62.025,5.1829,0.2902,0.682,0.2902,HSIL
396,275,78.405,5.8698,0.286,0.6527,0.286,HSIL
396,276,97.94,3.9966,0.7705,0.8591,0.7705,HSIL
396,277,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,278,97.05,4.2028,0.6904,0.8838,0.6904,HSIL
396,279,86.015,4.8758,0.4547,0.7494,0.4547,HSIL
396,280,80.145,5.4269,0.342,0.6225,0.342,HSIL
396,281,70.875,5.1152,0.3404,0.6797,0.3404,HSIL
396,282,95.99,4.696,0.547,0.5591,0.547,HSIL
396,283,96.19,4.098,0.7198,0.8236,0.7198,HSIL
396,284,94.215,4.3598,0.6229,0.4813,0.6229,HSIL
396,285,90.88,6.2025,0.2969,0.8818,0.2969,HSIL
396,286,95.02,4.9623,0.4849,0.9854,0.4849,HSIL
396,287,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,288,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,289,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,290,97.96,3.9883,0.7739,0.98,0.7739,HSIL
396,291,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,292,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,293,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,294,96.485,4.0687,0.7324,0.4472,0.7324,HSIL
396,295,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,296,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,297,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,298,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,299,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,300,97.22,4.2063,0.6905,0.8944,0.6905,HSIL
396,301,92.01,5.4334,0.3917,0.6086,0.3917,HSIL
396,302,91.005,4.5184,0.5602,0.9247,0.5602,HSIL
396,303,86.86,5.2202,0.4005,0.6371,0.4005,HSIL
396,304,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,305,90.085,5.2641,0.4085,0.5652,0.4085,HSIL
396,306,92.505,5.1261,0.4424,0.7322,0.4424,HSIL
396,307,87.63,6.7205,0.2438,0.625,0.2438,HSIL
396,308,88.745,7.1478,0.2183,0.0891,0.2183,HSIL
396,309,84.08,6.2268,0.2725,0.1934,0.2725,HSIL
396,310,62.705,9.4711,0.0878,0.6363,0.0878,HSIL
396,311,75.75,6.8924,0.2004,0.7446,0.2004,HSIL
396,312,84.365,4.431,0.54,0.5877,0.54,HSIL
396,313,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,314,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,315,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,316,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,317,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,318,75.4,5.2611,0.3423,0.774,0.3423,HSIL
396,319,52.08,8.8218,0.0841,0.735,0.0841,Negative for intraepithelial lesion
396,320,78.26,7.0096,0.2002,0.7599,0.2002,Negative for intraepithelial lesion
396,321,60.15,7.9947,0.1183,0.751,0.1183,HSIL
396,322,66.355,4.6724,0.382,0.8665,0.382,HSIL
396,323,92.91,5.6237,0.3692,0.7637,0.3692,Negative for intraepithelial lesion
396,324,69.65,6.0082,0.2425,0.4853,0.2425,Negative for intraepithelial lesion
396,325,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,326,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,327,98.01,3.96,0.7854,-1.0,0.7854,HSIL
396,328,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,329,6.27,1.0091,0.7737,0.3726,0.7737,Negative for intraepithelial lesion
395,330,77.895,5.7326,0.2979,0.7272,0.2979,Negative for intraepithelial lesion
395,331,97.525,4.1287,0.719,0.5992,0.719,Negative for intraepithelial lesion
395,332,44.97,5.6619,0.1763,0.722,0.1763,Negative for intraepithelial lesion
395,333,25.02,2.3782,0.5559,0.7183,0.5559,HSIL
395,334,36.805,4.1781,0.265,0.8049,0.265,HSIL
395,335,29.73,4.0019,0.2333,0.8486,0.2333,HSIL
395,336,38.73,3.7576,0.3447,0.344,0.3447,HSIL
395,337,75.98,5.3122,0.3383,0.7178,0.3383,HSIL
395,338,96.37,4.3711,0.6338,0.5513,0.6338,HSIL
395,339,93.1,4.9057,0.4861,0.9997,0.4861,HSIL
395,340,86.54,6.1922,0.2836,0.5213,0.2836,HSIL
395,341,96.755,4.4784,0.6062,0.924,0.6062,HSIL
395,342,97.385,4.3736,0.6398,0.9936,0.6398,HSIL
395,343,88.655,5.9063,0.3194,0.4775,0.3194,HSIL
395,344,95.8,4.8491,0.512,0.4981,0.512,HSIL
395,345,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,346,97.67,4.1897,0.6992,0.9945,0.6992,HSIL
395,347,54.395,4.9884,0.2747,0.7354,0.2747,HSIL
395,348,74.09,5.2714,0.3351,0.9201,0.3351,HSIL
395,349,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,350,95.725,4.0638,0.7284,0.5777,0.7284,HSIL
395,351,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,352,97.85,3.9766,0.7776,0.9884,0.7776,HSIL
395,353,91.125,4.2536,0.6329,0.8575,0.6329,HSIL
395,354,75.905,4.8792,0.4007,0.6057,0.4007,HSIL
395,355,94.525,4.353,0.6269,0.945,0.6269,HSIL
395,356,86.24,5.3079,0.3847,0.7128,0.3847,HSIL
395,357,73.44,4.6797,0.4214,0.6646,0.4214,HSIL
395,358,94.085,4.3847,0.615,0.5732,0.615,HSIL
395,359,82.46,6.2219,0.2677,0.8259,0.2677,HSIL
395,360,40.64,4.4785,0.2546,0.6725,0.2546,HSIL
395,361,74.3,5.3742,0.3233,0.575,0.3233,HSIL
395,362,79.425,5.8435,0.2923,0.674,0.2923,HSIL
395,363,89.2,6.1362,0.2977,0.9602,0.2977,HSIL
395,364,97.56,4.0414,0.7506,0.3423,0.7506,HSIL
395,365,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,366,93.705,5.1758,0.4396,0.9407,0.4396,HSIL
395,367,80.84,6.4191,0.2465,0.8086,0.2465,HSIL
395,368,69.975,3.873,0.5862,0.8145,0.5862,HSIL
395,369,91.505,3.7867,0.8019,0.5241,0.8019,HSIL
395,370,97.96,3.9883,0.7739,0.9804,0.7739,HSIL
395,371,79.965,5.9035,0.2883,0.6538,0.2883,HSIL
395,372,84.215,6.6712,0.2378,0.4758,0.2378,HSIL
395,373,83.645,4.8392,0.4488,0.5921,0.4488,HSIL
395,374,89.025,6.0235,0.3083,0.6004,0.3083,HSIL
395,375,69.905,5.6146,0.2787,0.7048,0.2787,HSIL
395,376,57.025,5.2423,0.2608,0.4187,0.2608,HSIL
395,377,96.895,4.335,0.6479,0.8474,0.6479,HSIL
395,378,96.37,4.1311,0.7096,0.9994,0.7096,HSIL
395,379,92.145,5.5261,0.3792,0.5813,0.3792,HSIL
395,380,97.2,4.098,0.7273,0.7011,0.7273,HSIL
395,381,95.76,4.6643,0.5531,0.6933,0.5531,HSIL
395,382,97.875,4.0624,0.7453,0.9506,0.7453,HSIL
395,383,92.82,5.5968,0.3724,0.4419,0.3724,HSIL
395,384,74.92,6.5559,0.2191,0.7635,0.2191,HSIL
395,385,44.86,3.5976,0.4355,0.6758,0.4355,HSIL
395,386,95.675,4.3418,0.6378,0.7997,0.6378,HSIL
395,387,80.39,5.2459,0.3671,0.8259,0.3671,HSIL
395,388,66.49,7.8753,0.1347,0.6737,0.1347,HSIL
395,389,82.005,8.1383,0.1556,0.448,0.1556,HSIL
395,390,86.99,4.0905,0.6533,0.5706,0.6533,HSIL
395,391,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,392,97.325,4.3238,0.6542,0.443,0.6542,HSIL
395,393,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,394,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,395,66.09,4.6182,0.3894,0.3326,0.3894,HSIL
395,396,75.12,7.993,0.1478,0.5868,0.1478,HSIL
395,397,92.135,4.9847,0.466,0.459,0.466,HSIL
395,398,96.71,4.2911,0.66,0.9962,0.66,HSIL
395,399,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,400,93.97,4.6257,0.5519,0.8473,0.5519,HSIL
395,401,96.845,4.3536,0.6421,0.9708,0.6421,HSIL
395,402,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,403,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,404,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,405,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,406,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,407,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,408,92.08,6.0611,0.315,0.7769,0.315,HSIL
395,409,93.895,5.6241,0.373,0.9799,0.373,HSIL
395,410,98.0,3.9683,0.782,0.9891,0.782,HSIL
395,411,92.69,4.9257,0.4801,0.6416,0.4801,HSIL
395,412,95.66,4.476,0.6,0.9563,0.6,HSIL
395,413,98.01,3.96,0.7854,-1.0,0.7854,HSIL
395,414,90.365,5.2621,0.4101,0.8826,0.4101,HSIL
395,415,96.74,3.9746,0.7696,0.941,0.7696,HSIL
395,416,96.51,4.276,0.6633,0.8639,0.6633,HSIL
395,417,96.0,4.3594,0.6348,0.9068,0.6348,HSIL
395,418,97.045,4.2356,0.6798,0.9442,0.6798,HSIL
